                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.1533,                 4.5349,                 1.1257,                0.03004,                 0.3534,                0.04822,                0.03877,                0.79862,                 3.9815,                  0.895,             6.5789e-05,             6.5789e-05,             6.5789e-05
                      2,                0.99222,                 3.5169,                 1.0395,                0.30125,                0.33581,                0.27347,                0.22075,                0.83765,                 2.4712,                0.97399,             0.00011934,             0.00011934,             0.00011934
                      3,                0.95248,                 2.6025,                   1.04,                0.52235,                0.59389,                0.58397,                0.46683,                0.81294,                 1.6859,                0.98947,              0.0001597,              0.0001597,              0.0001597
                      4,                0.91416,                  1.966,                 1.0267,                0.76181,                0.80116,                0.85489,                0.68442,                 0.7947,                 1.1788,                 0.9748,              0.0001406,              0.0001406,              0.0001406
                      5,                0.88446,                 1.5644,                 1.0143,                0.90569,                0.85876,                0.93638,                0.75232,                0.77532,                0.91104,                0.95829,              0.0001406,              0.0001406,              0.0001406
                      6,                0.86061,                 1.3327,                  1.005,                0.90779,                0.92164,                0.95455,                0.77372,                0.75969,                 0.7768,                0.94839,              0.0001208,              0.0001208,              0.0001208
                      7,                0.83832,                 1.2059,                0.99411,                0.93503,                0.93765,                0.96437,                 0.7873,                0.74446,                0.70409,                 0.9374,               0.000101,               0.000101,               0.000101
                      8,                0.82824,                 1.1106,                0.98168,                0.95274,                0.95364,                0.96962,                0.78933,                0.75012,                0.66591,                0.93787,               8.12e-05,               8.12e-05,               8.12e-05
                      9,                0.81508,                 1.0534,                0.97962,                0.95555,                0.95296,                0.97308,                0.79593,                 0.7458,                0.64778,                 0.9341,               6.14e-05,               6.14e-05,               6.14e-05
                     10,                0.80709,                  1.018,                0.97702,                0.96241,                0.94637,                0.97353,                0.79714,                0.74504,                0.62038,                0.93289,               4.16e-05,               4.16e-05,               4.16e-05
